Gate,Number of SiDBs,ExGS Runtime (s),QuickExact Runtime (s),Ratio (ExGS/QuickExact)
wire,15,0.072882,0.000299,243.752508361204
wire_diag,16,0.147883,0.000294,503.0034013605442
inv_diag,18,0.593071,0.00037,1602.8945945945948
inv,18,0.592166,0.000949,623.9894625922024
fo2,20,2.39638,0.005875999999999999,407.8250510551396
nand,19,3.1571209999999996,0.009663,326.7226534202628
nor,19,3.197871,0.009843,324.8878390734533
and,21,12.923825,0.040499,319.1146694980123
or,21,12.931080999999999,0.040695999999999996,317.7482062119127
xor,21,12.977102000000002,0.040821,317.9025991523971
xnor,21,12.970526,0.039779999999999996,326.05646053293117
ha,24,104.20801,0.15890100000000001,655.8046204869698
cx,27,830.371643,1.4377769999999999,577.5385494412556
hourglass,28,1647.5279449999998,2.667151,617.7107876531924
